,Campus Name,CCSF Entity,Lower Grade,Upper Grade,Grade Range,Category,Map Label,Lower Age,Upper Age,General Type,CDS Code,Campus Address,Supervisor District,County FIPS,County Name,Location 1,Latitude1,Longitude1,OBJECTID,ADDRESS,LOCATION,STREET,PLACEMENT,RACKS,SPACES,GLOBALID,INSTALL_YR,INSTALL_MO,LAT,LON,shape,SF Find Neighborhoods 2,Current Police Districts 2,Current Supervisor Districts 2,Analysis Neighborhoods 2,Analysis Neighborhoods - 2010 census tracts assigned to neighborhoods 2,"CBD, BID and GBD Boundaries as of 2017 2",Central Market/Tenderloin Boundary Polygon - Updated 2,Neighborhoods,Distance
30465,Marin Preparatory School,Private,0,8,K-8,Independent / Private,IND271,5,13,IND,,"117 DIAMOND ST, SAN FRANCISCO, CA 94114",8,6075,SAN FRANCISCO,"CA
(37.760124, -122.436798)",37.760124,-122.436798,12066,4243 18TH ST,Takara Sushi,18TH,SIDEWALK,1,2,,2006,0,37.760581,-122.436833,POINT (-122.43682 37.760574),38.0,3.0,5.0,5.0,171.0,9.0,,38.0,0.0004920000000012692
30509,Marin Preparatory School,Private,0,8,K-8,Independent / Private,IND271,5,13,IND,,"117 DIAMOND ST, SAN FRANCISCO, CA 94114",8,6075,SAN FRANCISCO,"CA
(37.760124, -122.436798)",37.760124,-122.436798,10549,117 DIAMOND ST,Marin Preparatory School,DIAMOND,SIDEWALK,2,4,,2004,0,37.760119,-122.436786,POINT (-122.436775 37.760113),38.0,3.0,5.0,5.0,171.0,,,38.0,1.6999999992606263e-05
32105,Montessori House Of Children,Private,0,1,K-1,Independent / Private,IND276,5,6,IND,380501318.0,"1187 FRANKLIN ST, SAN FRANCISCO, CA 94109",5,6075,SAN FRANCISCO,"CA
(37.785046, -122.423416)",37.785046,-122.423416,11362,1187 Franklin,Montessori House,GEARY,SIDEWALK,2,4,,2017,5,37.785347,-122.423088,POINT (-122.42307 37.785343),100.0,4.0,11.0,39.0,6.0,,,100.0,0.000628999999996438
72790,Star Of The Sea School,Private,0,8,K-8,Independent / Private,IND326,5,13,IND,38684786980742.0,"360 09TH AVE, SAN FRANCISCO, CA 94118",1,6075,SAN FRANCISCO,"CA
(37.781563, -122.467285)",37.781563,-122.467285,9098,4444 GEARY BLVD,Gaetani Bldg,GEARY,SIDEWALK,2,4,,2012,3,37.781193,-122.467179,POINT (-122.46716 37.78119),5.0,8.0,4.0,11.0,97.0,,,5.0,0.00047599999999903275
116073,Saint Monica School,Private,0,8,K-8,Independent / Private,IND301,5,13,IND,38684786980585.0,"476 24TH AVE, SAN FRANCISCO, CA 94121",1,6075,SAN FRANCISCO,"CA
(37.780613, -122.483337)",37.780613,-122.483337,11951,5950 GEARY BLVD,St. Monica School,GEARY; 24TH,SIDEWALK,4,8,,2015,1,37.780489,-122.483455,POINT (-122.483444 37.780483),8.0,8.0,4.0,29.0,28.0,,,8.0,0.0002420000000000755
217819,Kai Ming Head Start - North Beach Center,Private,-2,-1,PK,Independent / Private,CDC061,3,4,CDC,384001489.0,"1188 COLUMBUS AVE, SAN FRANCISCO, CA 94133",3,6075,SAN FRANCISCO,"CA
(37.804852, -122.41642)",37.804852,-122.41642,10168,2568 JONES ST,Bimbo's 365 Club,JONES,SIDEWALK,1,2,,2002,0,37.805018,-122.416584,POINT (-122.41657 37.80501),106.0,6.0,3.0,23.0,24.0,,,106.0,0.0003299999999981651
233125,Marin Day School - Spear St,Private,-2,-1,PK,Independent / Private,CDC092,3,4,CDC,384001294.0,"101 HOWARD ST, SAN FRANCISCO, CA 94105",6,6075,SAN FRANCISCO,"CA
(37.790878, -122.392525)",37.790878,-122.392525,10186,101 HOWARD ST,multiple,HOWARD,SIDEWALK,5,10,,2015,1,37.790882,-122.392546,POINT (-122.39253 37.79088),108.0,1.0,10.0,8.0,25.0,3.0,,108.0,2.4999999993724487e-05
244468,Fusion Academy San Francisco,Private,6,12,6-12,Independent / Private,IND244,11,17,IND,38684786143440.0,"535 PACIFIC AVE FL 3, SAN FRANCISCO, CA 94133",3,6075,SAN FRANCISCO,"CA
(37.797028, -122.404182)",37.797028,-122.404182,9062,553 PACIFIC AVE,Clubcard,PACIFIC,SIDEWALK,1,2,,2013,10,37.796998,-122.404489,POINT (-122.40447 37.796993),106.0,6.0,3.0,6.0,55.0,,,106.0,0.0003369999999875972
247941,Fusion Academy San Francisco,Private,6,12,6-12,Independent / Private,IND244,11,17,IND,38684786143440.0,"535 PACIFIC AVE FL 3, SAN FRANCISCO, CA 94133",3,6075,SAN FRANCISCO,"CA
(37.797028, -122.404182)",37.797028,-122.404182,12202,910 MONTGOMERY ST,The Purple Onion,MONTGOMERY,SIDEWALK,1,2,,2006,0,37.797484,-122.403709,POINT (-122.403694 37.797478),106.0,6.0,3.0,23.0,47.0,,,106.0,0.0009289999999992915
281865,Sweet Peas Preschool - East,Private,-2,-1,PK,Independent / Private,CDC142,3,4,CDC,384002314.0,"2730 17TH ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.764515, -122.411102)",37.764515,-122.411102,11151,405 FLORIDA ST,Vista Point Studio Gallery,FLORIDA,SIDEWALK,1,2,,2002,0,37.764083,-122.410815,POINT (-122.410805 37.764076),53.0,3.0,2.0,20.0,169.0,,,53.0,0.0007190000000036889
