,Campus Name,CCSF Entity,Lower Grade,Upper Grade,Grade Range,Category,Map Label,Lower Age,Upper Age,General Type,CDS Code,Campus Address,Supervisor District,County FIPS,County Name,Location 1,Latitude1,Longitude1,OBJECTID,ADDRESS,LOCATION,STREET,PLACEMENT,RACKS,SPACES,GLOBALID,INSTALL_YR,INSTALL_MO,LAT,LON,shape,SF Find Neighborhoods 2,Current Police Districts 2,Current Supervisor Districts 2,Analysis Neighborhoods 2,Analysis Neighborhoods - 2010 census tracts assigned to neighborhoods 2,"CBD, BID and GBD Boundaries as of 2017 2",Central Market/Tenderloin Boundary Polygon - Updated 2,Neighborhoods,Distance
7515,Mckinley Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS075,5,10,PS,38684786041420.0,"1025 14TH ST, San Francisco, CA 94114",8,6075,SAN FRANCISCO,"CA
(37.766884, -122.436279)",37.766884,-122.436279,11202,1025 14th St,Mckinley Elementary School,14TH,SIDEWALK,2,4,,2016,7,37.767212,-122.436384,POINT (-122.43637 37.76721),113.0,7.0,5.0,5.0,182.0,,,113.0,0.00043300000000812133
8312,Mckinley Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS075,5,10,PS,38684786041420.0,"1025 14TH ST, San Francisco, CA 94114",8,6075,SAN FRANCISCO,"CA
(37.766884, -122.436279)",37.766884,-122.436279,10367,1025 14TH ST,McKinley ES,CASTRO,SIDEWALK,1,2,,2011,9,37.767025,-122.435877,POINT (-122.43587 37.76702),113.0,7.0,5.0,5.0,182.0,,,113.0,0.0005429999999932988
21816,Noriega Early Education School,SFUSD,-2,5,PK-5,USD PreK/TK-5,PS085,3,10,PS,38684780117473.0,"1775 44TH AVE, San Francisco, CA 94122",4,6075,SAN FRANCISCO,"CA
(37.753834, -122.503654)",37.753834,-122.503654,10321,1775 44TH AVE,Noriega CDC Francis Scott Key Satellite CDC,44TH,SIDEWALK,1,2,,2013,1,37.753829,-122.503641,POINT (-122.503624 37.753822),39.0,10.0,7.0,35.0,103.0,,,39.0,1.7999999990081506e-05
80646,Argonne Early Education School,SFUSD,-2,0,PK-TK,USD PreK/TK,PS004,3,5,PS,384000981.0,"750 16TH AVE, San Francisco, CA 94118",1,6075,SAN FRANCISCO,"CA
(37.773968, -122.47406)",37.773968,-122.47406,12188,750 16TH AVE,Argonne Community Garden,16TH,SIDEWALK,2,4,,2011,6,37.773964,-122.474044,POINT (-122.47403 37.77396),5.0,8.0,4.0,29.0,93.0,,,5.0,1.9999999992137418e-05
87181,"Flynn, Leonard Flynn Elementary / Early Education",SFUSD,0,5,K-5,USD Grades K-5,PS033,5,10,PS,38684786041347.0,"3125 CESAR CHAVEZ ST, San Francisco, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.747746, -122.411964)",37.747746,-122.411964,9231,3125 CESAR CHAVEZ ST,Leonard R. Flynn CDC,CESAR CHAVEZ,SIDEWALK,1,2,,2013,4,37.74774,-122.411954,POINT (-122.41194 37.747734),83.0,9.0,2.0,2.0,160.0,,,83.0,1.6000000002236447e-05
119718,City College of San Francisco John Adams Center,SFCCD,13,14,13-14,Community College District,CC07,18,19,CC,,"1860 HAYES ST, SAN FRANCISCO, CA 94117",5,6075,SAN FRANCISCO,"CA
(37.774086, -122.447189)",37.774086,-122.447189,12499,200 Ashbury,Karma Cafe,Ashbury,SIDEWALK,1,2,,2019,12,37.77363984,-122.44765864,POINT (-122.44765 37.773636),24.0,7.0,11.0,18.0,71.0,,,24.0,0.0009158000000013544
122065,City College of San Francisco John Adams Center,SFCCD,13,14,13-14,Community College District,CC07,18,19,CC,,"1860 HAYES ST, SAN FRANCISCO, CA 94117",5,6075,SAN FRANCISCO,"CA
(37.774086, -122.447189)",37.774086,-122.447189,12176,1871 HAYES ST,UNKNOWN,HAYES,SIDEWALK,1,2,,2003,0,37.773639,-122.447361,POINT (-122.44735 37.773636),24.0,7.0,11.0,18.0,71.0,,,24.0,0.0006190000000003693
123418,City College of San Francisco John Adams Center,SFCCD,13,14,13-14,Community College District,CC07,18,19,CC,,"1860 HAYES ST, SAN FRANCISCO, CA 94117",5,6075,SAN FRANCISCO,"CA
(37.774086, -122.447189)",37.774086,-122.447189,10463,1860 HAYES ST,CCSF John Adams Campus,HAYES,SIDEWALK,1,2,,2010,0,37.774294,-122.446999,POINT (-122.44698 37.77429),24.0,7.0,11.0,18.0,71.0,,,24.0,0.00039799999998990643
134540,West Portal Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS125,5,10,PS,38684786041727.0,"5 LENOX WAY, San Francisco, CA 94127",7,6075,SAN FRANCISCO,"CA
(37.742874, -122.464348)",37.742874,-122.464348,10287,5 LENOX WAY,West Portal Elementary School and GLO,CLAREMONT,PARCEL,4,8,,0,0,37.742869,-122.464336,POINT (-122.464325 37.742863),46.0,10.0,8.0,41.0,149.0,,,46.0,1.699999999971169e-05
139787,"Lau, Gordon J. Lau Elementary / Preschool",SFUSD,-2,5,PK-5,"USD PreK, Grades K-5",PS061,3,10,PS,38684786040877.0,"950 CLAY ST, San Francisco, CA 94108",3,6075,SAN FRANCISCO,"CA
(37.794399, -122.408806)",37.794399,-122.408806,9199,949 WASHINGTON ST,Commodore Stockton CDC,WASHINGTON,SIDEWALK,1,2,,2013,3,37.794827,-122.409042,POINT (-122.40903 37.794823),104.0,6.0,3.0,6.0,12.0,,,104.0,0.000664000000000442
174646,Bryant Early Education / Bryant Elementary,SFUSD,-2,5,PK-5,"USD PreK-5, Grades K-5",PS009,3,10,PS,38684786040778.0,"2641 25TH ST, San Francisco, CA 94110",10,6075,SAN FRANCISCO,"CA
(37.751453, -122.404694)",37.751453,-122.404694,12378,None,Potrero Del Sol Park,SAN BRUNO,PARCEL,2,4,,0,0,37.750995,-122.404357,POINT (-122.40434 37.75099),54.0,3.0,9.0,20.0,164.0,,,54.0,0.0007949999999965485
266260,"Moscone, George Moscone Elementary / Las Americas Early Education",SFUSD,-2,5,PK-5,USD PreK-5,PS082,3,10,PS,38684786099154.0,"2576 HARRISON ST, San Francisco, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.756741, -122.41262)",37.756741,-122.41262,11978,801 TREAT AVE,Las Americas CDC,TREAT,SIDEWALK,1,2,,2013,4,37.756822,-122.412738,POINT (-122.41273 37.756817),53.0,3.0,2.0,20.0,195.0,,,53.0,0.00019900000000205864
267443,"Moscone, George Moscone Elementary / Las Americas Early Education",SFUSD,-2,5,PK-5,USD PreK-5,PS082,3,10,PS,38684786099154.0,"2576 HARRISON ST, San Francisco, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.756741, -122.41262)",37.756741,-122.41262,9702,2576 HARRISON ST,Moscone Elementry,HARRISON,SIDEWALK,1,2,,2012,2,37.756822,-122.412738,POINT (-122.41273 37.756817),53.0,3.0,2.0,20.0,195.0,,,53.0,0.00019900000000205864
